Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
Games,[16486fe0-9e22-405a-af58-c68ee5838b09]
   Heroica,[75595ede-5491-4ae7-b29e-518002baaab4]
      3857,[Draida Bay]
      3858,[Waldurk Forest]
      3859,[Caverns of Nathuz]
      3860,[Castle Fortaan]
      853358,[LEGO HEROICA Storage Mat]
      2856745,[Heroica Character Cards]
      3874,[Heroica Ilrion]
      30170,[Ganrash]
      HERCCIT,[Heroica Event Character Cards]
      HEROBOX,[Limited Edition Box Set]
   ,[a30381d7-d2b0-4692-9b73-149f40c3e492]
      50003,[Batman]
      50004,[Story Mixer]
      50006,[Legends of Chima]
      50011,[The Battle of Helms Deep]
      3835,[Robo Champ]
      3836,[Magikus ]
      3837,[Monster 4]
      3838,[Lava Dragon ]
      3841,[Minotaurus]
      3839,[Race 3000]
      3842,[Lunar Command ]
      3843,[Ramses Pyramid ]
      3844,[Creationary ]
      3840,[Pirate Code]
      3845,[Shave A Sheep]
      3846,[UFO Attack]
      3847,[Magma Monster]
      3848,[Pirate Plank]
      3862,[Harry Potter Hogwarts]
      2853588,[Promo Goldener W&#252;rfel (Golden dice)]
      3849,[Orient Bazaar]
      3851,[Atlantis Treasure]
      3850,[Meteor Strike]
      3856,[NinjaGo]
      3855,[Ramses Return]
      3854,[Frog Rush]
      3853,[Banana Balance]
      3852,[Sunblock]
      3861,[LEGO Champion]
      2856079,[Creationary Booster Pack]
      3866,[Star Wars: The Battle of Hoth]
      3865,[City Alarm]
      3864,[Mini Taurus]
      3863,[Kokoriko]
      4648939,[Gold Dice]
      3868,[Phineas and Ferb]
      3867,[Maya Mystica]
      3920,[The Hobbit: An Unexpected Journey]
      3592,[Knights&#39; Kingdom Board Game]
World Racers,[1a17b00d-c515-4af5-8fac-c6ffbbce0941]
   ,[722a1706-701f-4dc5-b59b-19579266a605]
      4595400,[Rocket Kit]
      8897,[Jagged Jaws Reef]
      8896,[Snake Canyon]
      8898,[Wreckage Road]
      8899,[Gator Swamp]
      8864,[Desert of Destruction]
      8863,[Blizzard&#39;s Peak]
      30031,[World Race Powerboat]
      30032,[World Race Buggy]
Books,[1aef1a82-3c02-4416-954a-2fd05bb0eace]
   Henry Holt &amp; Company,[0f810949-a2b2-4e98-a931-f744ebe47d5b]
      ISBN1627790179,[Cool Creations in 101 Pieces]
      ISBN0805087613,[Cool Cars and Trucks]
      ISBN080508763X,[Cool Robots]
      ISBN0805087621,[Cool City]
      ISBN080509539X,[Cool Castles]
      ISBN0805094644,[Amazing ABC]
   Dorling Kindersley,[1131befa-2f20-43b2-a02c-02eed2a298c6]
      ISBN0756692547,[LEGO Friends: Brickmaster]
      ISBN075669812X,[LEGO Ninjago: Character Encyclopedia]
      ISBN1409326063,[LEGO Legends of Chima: The Quest for CHI: Brickmaster]
      ISBN1409324621,[LEGO Minifigures: Character Encyclopedia]
      ISBN1409333582,[LEGO Star Wars: The Yoda Chronicles]
      ISBN1409326055,[LEGO Star Wars: Battle for the Stolen Crystals: Brickmaster]
      ISBN1409327515,[The LEGO Play Book]
      ISBN1409333124,[LEGO Minifigure Year by Year: A Visual History]
      ISBN1409347303,[LEGO Star Wars: Visual Dictionary, Updated and Expanded]
      ISBN1465418946,[LEGO Friends: Character Encyclopedia]
      ISBN1409350541,[LEGO Legends of Chima: Character Encyclopedia]
      ISBN1409347389,[LEGO Star Wars: The Dark Side]
      ISBN1465422994,[LEGO Ninjago: Visual Dictionary]
      ISBN1409354431,[LEGO Ninjago: Brickmaster, Updated and Expanded]
      ISBN0241195810,[LEGO Star Wars Character Encyclopedia: Updated and Expanded]
      ISBN1409355721,[LEGO Architecture: The Visual Guide]
      ISBN0241182980,[LEGO Awesome Ideas]
      ISBN1465434372,[Star Wars in 100 Scenes]
      ISBN0241196574,[LEGO Friends: The Adventure Guide]
      ISBN1409352625,[LEGO Ninjago: Secret World of the Ninja]
      ISBN0241011639,[Great LEGO Sets: A Visual History]
      ISBN0241196892,[I Love That Minifigure!]
